Session,ID,Frame,MotionEnergy
S03,P008,1,3543
S03,P008,2,4496
S03,P008,3,6141
S03,P008,4,4796
S03,P008,5,6769
S03,P008,6,1812
S03,P008,7,1918
S03,P008,8,1519
S03,P008,9,910
S03,P008,10,685
S03,P008,11,1153
S03,P008,12,1196
S03,P008,13,932
S03,P008,14,352
S03,P008,15,590
S03,P008,16,901
S03,P008,17,894
S03,P008,18,454
S03,P008,19,326
S03,P008,20,513
S03,P008,21,417
S03,P008,22,200
S03,P008,23,121
S03,P008,24,449
S03,P008,25,501
S03,P008,26,211
S03,P008,27,420
S03,P008,28,547
S03,P008,29,572
S03,P008,30,538
S03,P008,31,204
S03,P008,32,13
S03,P008,33,186
S03,P008,34,350
S03,P008,35,426
S03,P008,36,272
S03,P008,37,8
S03,P008,38,144
S03,P008,39,259
S03,P008,40,34
S03,P008,41,96
S03,P008,42,315
S03,P008,43,230
S03,P008,44,0
S03,P008,45,45
S03,P008,46,137
S03,P008,47,207
S03,P008,48,392
S03,P008,49,371
S03,P008,50,222
S03,P008,51,34
S03,P008,52,70
S03,P008,53,244
S03,P008,54,374
S03,P008,55,278
S03,P008,56,74
S03,P008,57,5
S03,P008,58,82
S03,P008,59,160
S03,P008,60,98
S03,P008,61,22
S03,P008,62,0
S03,P008,63,0
S03,P008,64,10
S03,P008,65,14
S03,P008,66,4
S03,P008,67,94
S03,P008,68,161
S03,P008,69,236
S03,P008,70,262
S03,P008,71,139
S03,P008,72,162
S03,P008,73,292
S03,P008,74,164
S03,P008,75,3
S03,P008,76,34
S03,P008,77,118
S03,P008,78,27
S03,P008,79,18
S03,P008,80,126
S03,P008,81,73
S03,P008,82,5
S03,P008,83,93
S03,P008,84,135
S03,P008,85,4
S03,P008,86,4
S03,P008,87,111
S03,P008,88,159
S03,P008,89,17
S03,P008,90,0
S03,P008,91,52
S03,P008,92,71
S03,P008,93,25
S03,P008,94,5
S03,P008,95,6
S03,P008,96,18
S03,P008,97,2
S03,P008,98,0
S03,P008,99,0
S03,P008,100,0
S03,P008,101,0
S03,P008,102,80
S03,P008,103,133
S03,P008,104,107
S03,P008,105,0
S03,P008,106,78
S03,P008,107,108
S03,P008,108,22
S03,P008,109,0
S03,P008,110,141
S03,P008,111,115
S03,P008,112,18
S03,P008,113,0
S03,P008,114,1
S03,P008,115,4
S03,P008,116,0
S03,P008,117,0
S03,P008,118,0
S03,P008,119,0
S03,P008,120,0
S03,P008,121,0
S03,P008,122,0
S03,P008,123,0
S03,P008,124,0
S03,P008,125,0
S03,P008,126,0
S03,P008,127,0
S03,P008,128,1
S03,P008,129,0
S03,P008,130,0
S03,P008,131,0
S03,P008,132,0
S03,P008,133,0
S03,P008,134,0
S03,P008,135,0
S03,P008,136,0
S03,P008,137,0
S03,P008,138,25
