Session,ID,Frame,MotionEnergy
S20,P043,1,1051
S20,P043,2,1804
S20,P043,3,3115
S20,P043,4,2794
S20,P043,5,711
S20,P043,6,69
S20,P043,7,263
S20,P043,8,441
S20,P043,9,668
S20,P043,10,860
S20,P043,11,871
S20,P043,12,965
S20,P043,13,996
S20,P043,14,966
S20,P043,15,1084
S20,P043,16,1085
S20,P043,17,1472
S20,P043,18,1701
S20,P043,19,1761
S20,P043,20,832
S20,P043,21,468
S20,P043,22,33
S20,P043,23,7
S20,P043,24,28
S20,P043,25,401
S20,P043,26,1225
S20,P043,27,1303
S20,P043,28,1587
S20,P043,29,530
S20,P043,30,340
S20,P043,31,1446
S20,P043,32,1803
S20,P043,33,682
S20,P043,34,189
S20,P043,35,169
S20,P043,36,262
S20,P043,37,225
S20,P043,38,76
S20,P043,39,8
S20,P043,40,153
S20,P043,41,354
S20,P043,42,182
S20,P043,43,104
S20,P043,44,27
S20,P043,45,261
S20,P043,46,777
S20,P043,47,811
S20,P043,48,515
S20,P043,49,55
S20,P043,50,25
S20,P043,51,570
S20,P043,52,1372
S20,P043,53,2252
S20,P043,54,1870
S20,P043,55,409
S20,P043,56,24
S20,P043,57,13
S20,P043,58,329
S20,P043,59,843
S20,P043,60,844
S20,P043,61,118
S20,P043,62,49
S20,P043,63,74
S20,P043,64,345
S20,P043,65,211
S20,P043,66,450
S20,P043,67,283
S20,P043,68,83
S20,P043,69,72
S20,P043,70,69
S20,P043,71,98
S20,P043,72,132
S20,P043,73,65
S20,P043,74,31
S20,P043,75,2
S20,P043,76,3
S20,P043,77,3
S20,P043,78,3
S20,P043,79,3
S20,P043,80,7
S20,P043,81,121
S20,P043,82,481
S20,P043,83,575
S20,P043,84,338
S20,P043,85,43
S20,P043,86,42
S20,P043,87,70
S20,P043,88,261
S20,P043,89,556
S20,P043,90,584
S20,P043,91,133
S20,P043,92,220
S20,P043,93,1276
S20,P043,94,2060
S20,P043,95,1667
S20,P043,96,1175
S20,P043,97,436
S20,P043,98,432
S20,P043,99,168
S20,P043,100,92
S20,P043,101,278
S20,P043,102,220
S20,P043,103,898
S20,P043,104,1037
S20,P043,105,1851
S20,P043,106,1720
S20,P043,107,761
S20,P043,108,342
S20,P043,109,846
S20,P043,110,830
S20,P043,111,471
S20,P043,112,342
S20,P043,113,230
S20,P043,114,5
