Session,Frame,LeftPlayerMotion,RightPlayerMotion
S18,1,0,0
S18,2,10,0
S18,3,66,0
S18,4,155,0
S18,5,182,0
S18,6,224,2
S18,7,164,0
S18,8,101,0
S18,9,86,0
S18,10,73,0
S18,11,71,0
S18,12,54,0
S18,13,38,0
S18,14,37,0
S18,15,14,0
S18,16,5,0
S18,17,3,0
S18,18,2,0
S18,19,0,0
S18,20,0,0
S18,21,0,0
S18,22,0,0
S18,23,0,0
S18,24,0,0
S18,25,0,0
S18,26,0,0
S18,27,2,4
S18,28,107,0
S18,29,302,0
S18,30,513,0
S18,31,493,0
S18,32,348,0
S18,33,149,0
S18,34,66,0
S18,35,142,0
S18,36,584,0
S18,37,877,0
S18,38,792,0
S18,39,283,0
S18,40,9,0
S18,41,1,0
S18,42,21,0
S18,43,96,0
S18,44,268,0
S18,45,403,0
S18,46,526,0
S18,47,795,0
S18,48,1114,0
S18,49,1367,0
S18,50,1608,0
S18,51,1533,0
S18,52,1087,0
S18,53,712,0
S18,54,533,0
S18,55,525,0
S18,56,569,0
S18,57,692,0
S18,58,765,0
S18,59,740,0
S18,60,702,0
S18,61,540,0
S18,62,429,0
S18,63,601,0
S18,64,638,0
S18,65,704,0
S18,66,611,0
S18,67,416,0
S18,68,302,0
S18,69,211,0
S18,70,101,0
S18,71,8,9
S18,72,1,82
S18,73,0,346
S18,74,12,517
S18,75,41,599
S18,76,117,535
S18,77,194,424
S18,78,207,302
S18,79,161,163
S18,80,105,32
S18,81,56,1
S18,82,44,0
S18,83,21,0
S18,84,18,0
S18,85,0,0
S18,86,0,15
S18,87,0,160
S18,88,27,356
S18,89,86,505
S18,90,102,624
S18,91,83,617
S18,92,39,498
S18,93,0,368
S18,94,0,263
S18,95,41,167
S18,96,6,102
S18,97,17,25
S18,98,25,0
S18,99,0,0
S18,100,0,0
S18,101,91,0
S18,102,94,0
S18,103,33,0
S18,104,9,0
S18,105,18,0
S18,106,0,0
S18,107,4,0
S18,108,52,0
S18,109,107,0
S18,110,76,0
S18,111,58,4
S18,112,60,29
S18,113,303,0
S18,114,307,0
S18,115,172,0
S18,116,23,0
S18,117,3,0
S18,118,14,0
S18,119,141,0
S18,120,304,0
S18,121,475,0
S18,122,533,0
S18,123,428,0
S18,124,365,0
S18,125,281,24
S18,126,129,0
S18,127,43,0
S18,128,56,0
S18,129,56,0
S18,130,50,0
S18,131,15,0
S18,132,20,0
S18,133,16,0
S18,134,13,24
S18,135,0,0
S18,136,0,0
S18,137,0,0
S18,138,0,0
