Session,ID,Frame,MotionEnergy
S13,P028,1,3561
S13,P028,2,3122
S13,P028,3,2473
S13,P028,4,1699
S13,P028,5,1289
S13,P028,6,815
S13,P028,7,501
S13,P028,8,1038
S13,P028,9,1641
S13,P028,10,1861
S13,P028,11,1537
S13,P028,12,988
S13,P028,13,1024
S13,P028,14,1695
S13,P028,15,2197
S13,P028,16,2705
S13,P028,17,3005
S13,P028,18,3092
S13,P028,19,2933
S13,P028,20,2678
S13,P028,21,2171
S13,P028,22,1289
S13,P028,23,956
S13,P028,24,718
S13,P028,25,544
S13,P028,26,272
S13,P028,27,163
S13,P028,28,122
S13,P028,29,88
S13,P028,30,80
S13,P028,31,41
S13,P028,32,0
S13,P028,33,0
S13,P028,34,6
S13,P028,35,62
S13,P028,36,134
S13,P028,37,88
S13,P028,38,29
S13,P028,39,167
S13,P028,40,295
S13,P028,41,346
S13,P028,42,420
S13,P028,43,367
S13,P028,44,299
S13,P028,45,286
S13,P028,46,245
S13,P028,47,258
S13,P028,48,115
S13,P028,49,39
S13,P028,50,84
S13,P028,51,240
S13,P028,52,337
S13,P028,53,407
S13,P028,54,436
S13,P028,55,322
S13,P028,56,81
S13,P028,57,169
S13,P028,58,380
S13,P028,59,449
S13,P028,60,596
S13,P028,61,833
S13,P028,62,1423
S13,P028,63,2099
S13,P028,64,3030
S13,P028,65,3614
S13,P028,66,3591
S13,P028,67,3845
S13,P028,68,4072
S13,P028,69,3950
S13,P028,70,3757
S13,P028,71,3514
S13,P028,72,3276
S13,P028,73,2774
S13,P028,74,2187
S13,P028,75,1341
S13,P028,76,735
S13,P028,77,423
S13,P028,78,402
S13,P028,79,208
S13,P028,80,203
S13,P028,81,304
S13,P028,82,298
S13,P028,83,126
S13,P028,84,14
S13,P028,85,48
S13,P028,86,49
S13,P028,87,62
S13,P028,88,80
S13,P028,89,59
S13,P028,90,1
S13,P028,91,0
S13,P028,92,5
S13,P028,93,71
S13,P028,94,107
S13,P028,95,148
S13,P028,96,85
S13,P028,97,35
S13,P028,98,14
S13,P028,99,2
S13,P028,100,0
S13,P028,101,0
S13,P028,102,0
S13,P028,103,19
S13,P028,104,25
S13,P028,105,0
S13,P028,106,0
S13,P028,107,0
S13,P028,108,0
S13,P028,109,0
S13,P028,110,6
S13,P028,111,0
S13,P028,112,0
S13,P028,113,38
S13,P028,114,240
S13,P028,115,534
S13,P028,116,919
S13,P028,117,1221
S13,P028,118,1766
S13,P028,119,2252
S13,P028,120,2933
S13,P028,121,3514
S13,P028,122,4226
S13,P028,123,4993
S13,P028,124,5582
S13,P028,125,5903
S13,P028,126,5320
S13,P028,127,4289
S13,P028,128,2806
S13,P028,129,1721
S13,P028,130,1344
S13,P028,131,1239
S13,P028,132,1223
S13,P028,133,1151
S13,P028,134,1003
S13,P028,135,767
S13,P028,136,620
S13,P028,137,859
S13,P028,138,898
S13,P028,139,577
S13,P028,140,277
S13,P028,141,84
S13,P028,142,40
S13,P028,143,200
S13,P028,144,297
S13,P028,145,160
S13,P028,146,124
S13,P028,147,114
S13,P028,148,86
S13,P028,149,27
S13,P028,150,8
S13,P028,151,4
S13,P028,152,11
S13,P028,153,46
S13,P028,154,27
S13,P028,155,9
S13,P028,156,1
S13,P028,157,0
S13,P028,158,0
S13,P028,159,2
S13,P028,160,13
S13,P028,161,14
S13,P028,162,55
S13,P028,163,61
S13,P028,164,78
S13,P028,165,75
S13,P028,166,41
S13,P028,167,9
S13,P028,168,0
S13,P028,169,0
S13,P028,170,0
S13,P028,171,0
S13,P028,172,0
S13,P028,173,36
S13,P028,174,15
S13,P028,175,33
S13,P028,176,13
S13,P028,177,9
S13,P028,178,6
S13,P028,179,0
S13,P028,180,0
S13,P028,181,0
S13,P028,182,0
S13,P028,183,0
S13,P028,184,0
S13,P028,185,0
S13,P028,186,0
S13,P028,187,0
S13,P028,188,0
S13,P028,189,0
S13,P028,190,0
S13,P028,191,0
S13,P028,192,0
S13,P028,193,0
S13,P028,194,0
S13,P028,195,0
S13,P028,196,0
S13,P028,197,0
S13,P028,198,0
S13,P028,199,0
S13,P028,200,0
S13,P028,201,0
S13,P028,202,0
S13,P028,203,0
S13,P028,204,0
S13,P028,205,0
S13,P028,206,0
S13,P028,207,0
S13,P028,208,0
S13,P028,209,0
S13,P028,210,0
S13,P028,211,0
S13,P028,212,0
S13,P028,213,0
S13,P028,214,0
S13,P028,215,0
S13,P028,216,0
S13,P028,217,0
S13,P028,218,0
S13,P028,219,0
S13,P028,220,0
S13,P028,221,0
S13,P028,222,0
S13,P028,223,0
S13,P028,224,0
S13,P028,225,0
S13,P028,226,0
S13,P028,227,0
S13,P028,228,0
S13,P028,229,0
S13,P028,230,0
S13,P028,231,0
S13,P028,232,0
S13,P028,233,0
S13,P028,234,0
S13,P028,235,0
S13,P028,236,0
S13,P028,237,0
S13,P028,238,0
S13,P028,239,0
S13,P028,240,0
S13,P028,241,0
S13,P028,242,0
S13,P028,243,0
S13,P028,244,0
S13,P028,245,26
S13,P028,246,0
S13,P028,247,0
S13,P028,248,3
S13,P028,249,0
S13,P028,250,0
S13,P028,251,0
S13,P028,252,0
S13,P028,253,0
S13,P028,254,0
S13,P028,255,0
S13,P028,256,0
S13,P028,257,2
S13,P028,258,0
S13,P028,259,0
S13,P028,260,0
S13,P028,261,0
S13,P028,262,0
S13,P028,263,0
S13,P028,264,0
S13,P028,265,0
S13,P028,266,0
S13,P028,267,0
S13,P028,268,0
S13,P028,269,0
S13,P028,270,0
S13,P028,271,0
S13,P028,272,0
S13,P028,273,0
S13,P028,274,0
S13,P028,275,0
S13,P028,276,0
S13,P028,277,0
S13,P028,278,0
S13,P028,279,0
S13,P028,280,0
S13,P028,281,0
S13,P028,282,0
S13,P028,283,0
S13,P028,284,0
S13,P028,285,0
S13,P028,286,0
S13,P028,287,0
S13,P028,288,0
S13,P028,289,0
S13,P028,290,0
S13,P028,291,0
S13,P028,292,0
S13,P028,293,0
S13,P028,294,0
S13,P028,295,0
S13,P028,296,0
S13,P028,297,0
S13,P028,298,0
S13,P028,299,0
S13,P028,300,11
S13,P028,301,7
S13,P028,302,0
S13,P028,303,0
S13,P028,304,0
S13,P028,305,0
S13,P028,306,0
S13,P028,307,0
S13,P028,308,0
S13,P028,309,0
S13,P028,310,0
S13,P028,311,0
S13,P028,312,0
S13,P028,313,0
S13,P028,314,0
S13,P028,315,0
S13,P028,316,0
S13,P028,317,0
S13,P028,318,0
S13,P028,319,0
S13,P028,320,0
S13,P028,321,0
S13,P028,322,0
S13,P028,323,0
S13,P028,324,0
