Session,Frame,LeftPlayerMotion,RightPlayerMotion
S17,1,2446,162
S17,2,2054,153
S17,3,1684,320
S17,4,1301,657
S17,5,978,962
S17,6,714,1263
S17,7,695,1378
S17,8,673,1472
S17,9,742,1545
S17,10,673,1642
S17,11,528,1677
S17,12,593,1756
S17,13,1017,1919
S17,14,2118,2346
S17,15,2992,2586
S17,16,3673,2853
S17,17,3948,3213
S17,18,3602,3459
S17,19,3023,3330
S17,20,2703,3268
S17,21,2645,3084
S17,22,2444,2633
S17,23,2278,1931
S17,24,2133,1171
S17,25,1910,396
S17,26,1562,157
S17,27,1347,193
S17,28,1183,673
S17,29,1189,1257
S17,30,1043,1742
S17,31,933,2160
S17,32,809,2549
S17,33,706,3099
S17,34,761,3503
S17,35,858,3623
S17,36,845,3676
S17,37,875,3714
S17,38,723,3775
S17,39,743,3756
S17,40,784,3766
S17,41,648,3651
S17,42,428,3288
S17,43,298,2995
S17,44,171,3153
S17,45,44,3214
S17,46,0,3174
S17,47,0,2919
S17,48,0,2538
S17,49,0,2323
S17,50,0,1703
S17,51,8,1280
S17,52,185,907
S17,53,686,504
S17,54,965,288
S17,55,146,190
S17,56,1176,293
S17,57,1940,534
S17,58,2029,756
S17,59,1113,782
S17,60,296,804
S17,61,186,677
S17,62,476,557
S17,63,831,501
S17,64,747,214
S17,65,305,258
S17,66,99,1049
S17,67,31,1667
S17,68,37,2021
S17,69,1,2011
S17,70,0,1676
S17,71,39,1084
S17,72,24,567
S17,73,54,333
S17,74,52,264
S17,75,22,413
S17,76,3,508
S17,77,0,584
S17,78,0,526
S17,79,0,330
S17,80,0,157
S17,81,0,84
S17,82,0,26
S17,83,0,2
S17,84,0,89
S17,85,0,600
S17,86,0,1299
S17,87,0,1550
S17,88,1,1310
S17,89,0,672
S17,90,0,470
S17,91,0,647
S17,92,0,1079
S17,93,0,1224
S17,94,0,1152
S17,95,0,919
S17,96,0,582
S17,97,0,430
S17,98,0,882
S17,99,100,1258
S17,100,760,1300
S17,101,1895,979
S17,102,1503,519
S17,103,177,253
S17,104,122,180
S17,105,667,153
S17,106,1057,92
S17,107,1006,42
S17,108,594,81
S17,109,109,90
S17,110,2,48
S17,111,0,0
S17,112,10,5
S17,113,12,17
S17,114,0,2
S17,115,0,0
S17,116,3,0
S17,117,0,0
S17,118,0,0
S17,119,0,0
S17,120,0,17
S17,121,0,0
S17,122,0,0
S17,123,0,0
S17,124,0,0
S17,125,0,0
S17,126,0,0
S17,127,0,0
S17,128,0,0
S17,129,0,0
S17,130,0,0
S17,131,0,0
S17,132,0,0
S17,133,0,0
S17,134,0,0
S17,135,0,0
S17,136,0,0
S17,137,0,0
S17,138,0,0
S17,139,0,0
S17,140,0,0
S17,141,0,0
S17,142,0,0
S17,143,0,0
S17,144,0,0
S17,145,0,0
S17,146,0,0
S17,147,0,0
S17,148,0,0
S17,149,0,0
S17,150,0,0
S17,151,0,0
S17,152,0,0
S17,153,0,0
S17,154,0,0
S17,155,0,0
S17,156,0,0
S17,157,0,0
S17,158,0,0
S17,159,0,0
S17,160,0,0
S17,161,0,0
S17,162,0,0
S17,163,0,0
S17,164,0,0
S17,165,0,0
S17,166,0,0
S17,167,0,0
S17,168,0,0
S17,169,0,0
S17,170,0,2
S17,171,20,16
S17,172,336,0
S17,173,520,2
S17,174,29,0
S17,175,1593,0
S17,176,2537,0
S17,177,2508,0
S17,178,1394,0
S17,179,356,0
S17,180,104,0
S17,181,121,0
S17,182,664,0
S17,183,1069,0
S17,184,926,0
S17,185,439,0
S17,186,136,0
S17,187,21,11
S17,188,0,139
S17,189,0,329
S17,190,0,402
S17,191,0,252
S17,192,0,43
S17,193,0,1
S17,194,0,3
S17,195,0,20
S17,196,0,49
S17,197,0,83
S17,198,0,121
S17,199,0,95
S17,200,0,26
S17,201,0,23
S17,202,0,5
S17,203,0,0
S17,204,0,0
S17,205,0,0
S17,206,0,0
S17,207,0,0
S17,208,0,0
S17,209,0,0
S17,210,0,0
S17,211,0,0
S17,212,0,0
S17,213,0,0
S17,214,0,0
S17,215,0,0
S17,216,0,0
S17,217,0,0
S17,218,0,0
S17,219,0,0
S17,220,0,0
S17,221,0,0
S17,222,0,0
S17,223,0,0
S17,224,0,0
S17,225,0,0
S17,226,0,0
S17,227,0,0
S17,228,0,0
S17,229,0,0
S17,230,0,0
S17,231,0,0
S17,232,0,0
S17,233,0,0
S17,234,0,0
S17,235,0,0
S17,236,0,0
S17,237,0,0
S17,238,0,0
S17,239,0,0
S17,240,0,0
S17,241,0,17
S17,242,0,0
S17,243,0,0
S17,244,0,0
S17,245,0,0
S17,246,0,0
S17,247,0,0
S17,248,0,0
S17,249,0,0
S17,250,0,0
S17,251,0,0
S17,252,0,0
S17,253,0,0
S17,254,0,4
S17,255,0,8
S17,256,0,2
S17,257,0,0
S17,258,0,0
S17,259,0,0
S17,260,0,0
S17,261,0,0
S17,262,0,0
S17,263,0,0
S17,264,0,0
S17,265,0,0
S17,266,0,0
S17,267,0,0
S17,268,0,0
S17,269,0,0
S17,270,0,0
S17,271,0,24
S17,272,0,21
S17,273,0,0
S17,274,0,0
S17,275,0,0
S17,276,0,8
S17,277,0,20
S17,278,0,1
S17,279,0,0
S17,280,0,0
S17,281,0,0
S17,282,0,0
S17,283,0,0
S17,284,0,16
S17,285,0,0
S17,286,0,0
S17,287,0,13
S17,288,0,13
S17,289,0,31
S17,290,0,68
S17,291,0,104
S17,292,0,123
S17,293,0,118
S17,294,0,120
S17,295,0,69
S17,296,0,11
S17,297,0,0
S17,298,0,0
S17,299,0,0
S17,300,0,4
S17,301,0,12
S17,302,0,25
S17,303,0,22
S17,304,0,22
S17,305,0,15
S17,306,0,10
S17,307,0,3
S17,308,0,0
S17,309,0,0
S17,310,0,0
S17,311,0,0
S17,312,0,0
S17,313,0,0
S17,314,9,0
S17,315,0,0
S17,316,0,0
S17,317,0,0
S17,318,1,0
S17,319,0,0
S17,320,0,0
S17,321,0,0
S17,322,0,0
S17,323,0,0
S17,324,0,0
S17,325,0,0
S17,326,0,0
S17,327,0,0
S17,328,0,23
S17,329,0,7
S17,330,0,0
S17,331,0,2
S17,332,0,0
S17,333,0,0
S17,334,0,0
S17,335,0,0
S17,336,0,0
S17,337,0,0
S17,338,0,0
S17,339,0,5
S17,340,0,115
S17,341,0,501
S17,342,0,944
S17,343,0,1284
S17,344,0,1288
S17,345,0,1014
S17,346,0,520
S17,347,0,96
S17,348,0,6
S17,349,0,30
S17,350,7,138
S17,351,170,223
S17,352,618,317
S17,353,844,398
S17,354,783,408
S17,355,402,367
S17,356,184,327
S17,357,11,338
S17,358,0,368
S17,359,10,355
S17,360,15,324
S17,361,10,266
S17,362,0,220
S17,363,0,171
S17,364,1,166
S17,365,0,133
S17,366,0,98
S17,367,0,69
S17,368,0,52
S17,369,5,20
S17,370,6,3
S17,371,6,4
S17,372,1,13
S17,373,7,0
S17,374,2,0
S17,375,0,5
S17,376,0,0
S17,377,0,0
S17,378,0,0
S17,379,0,0
S17,380,0,0
S17,381,0,110
S17,382,0,292
S17,383,0,280
S17,384,0,216
S17,385,0,222
S17,386,0,326
S17,387,0,338
S17,388,0,296
S17,389,0,389
S17,390,0,494
S17,391,0,508
S17,392,0,597
S17,393,0,610
S17,394,0,277
S17,395,0,372
S17,396,0,621
S17,397,0,909
S17,398,0,727
S17,399,0,466
S17,400,0,443
S17,401,0,499
S17,402,0,511
S17,403,0,433
S17,404,0,268
S17,405,0,61
S17,406,0,62
S17,407,0,82
S17,408,0,44
S17,409,0,10
S17,410,0,1
S17,411,0,0
S17,412,0,0
S17,413,0,0
S17,414,0,0
S17,415,0,0
S17,416,0,0
S17,417,0,0
S17,418,0,0
S17,419,0,0
S17,420,0,0
S17,421,0,0
S17,422,0,0
S17,423,0,0
S17,424,0,0
S17,425,0,0
S17,426,0,0
S17,427,0,0
S17,428,0,0
S17,429,0,0
S17,430,0,0
S17,431,0,0
S17,432,0,0
S17,433,0,0
S17,434,0,0
S17,435,0,0
S17,436,0,0
S17,437,0,0
S17,438,0,0
S17,439,0,0
S17,440,0,0
S17,441,0,25
S17,442,0,0
S17,443,0,0
S17,444,0,0
S17,445,0,0
S17,446,0,0
S17,447,0,0
S17,448,0,0
S17,449,0,0
S17,450,0,0
S17,451,0,0
S17,452,0,0
S17,453,0,0
S17,454,0,0
S17,455,2,3
S17,456,7,37
S17,457,74,266
S17,458,114,503
S17,459,15,658
S17,460,121,575
S17,461,561,318
S17,462,875,77
S17,463,820,5
S17,464,608,16
S17,465,349,84
S17,466,134,282
S17,467,1,399
S17,468,20,344
S17,469,55,310
S17,470,84,262
S17,471,90,191
S17,472,68,117
S17,473,35,37
S17,474,6,5
S17,475,2,0
S17,476,1,0
S17,477,0,0
S17,478,1,0
S17,479,0,1
S17,480,8,7
S17,481,0,17
S17,482,0,22
S17,483,0,19
S17,484,1,19
S17,485,0,7
S17,486,0,2
S17,487,0,0
S17,488,0,0
S17,489,0,0
S17,490,0,0
S17,491,0,0
S17,492,0,0
S17,493,0,0
S17,494,0,0
S17,495,0,0
S17,496,0,0
S17,497,0,0
S17,498,0,0
S17,499,0,0
S17,500,0,0
S17,501,0,0
S17,502,0,15
S17,503,0,7
S17,504,0,7
S17,505,0,0
S17,506,0,0
S17,507,0,0
S17,508,0,0
S17,509,0,0
S17,510,0,0
S17,511,0,0
S17,512,0,0
S17,513,3,0
S17,514,5,0
S17,515,6,0
S17,516,0,0
S17,517,0,0
S17,518,0,0
S17,519,0,0
S17,520,0,0
S17,521,0,0
S17,522,0,0
S17,523,0,0
S17,524,0,0
S17,525,0,0
S17,526,0,0
S17,527,0,0
S17,528,0,0
S17,529,0,0
S17,530,0,0
S17,531,0,0
S17,532,0,0
S17,533,0,0
S17,534,2,0
S17,535,0,0
S17,536,23,0
S17,537,68,0
S17,538,268,0
S17,539,898,0
S17,540,1585,0
S17,541,834,6
S17,542,76,13
S17,543,411,0
S17,544,738,3
S17,545,598,15
S17,546,352,16
S17,547,144,15
S17,548,3,12
S17,549,1,0
S17,550,0,0
S17,551,24,0
S17,552,4,4
S17,553,0,29
S17,554,0,57
S17,555,1,79
S17,556,0,90
S17,557,0,115
S17,558,0,52
S17,559,0,9
S17,560,0,0
S17,561,0,0
S17,562,0,17
S17,563,0,2
S17,564,0,3
S17,565,0,0
S17,566,0,0
S17,567,0,0
S17,568,0,16
S17,569,0,0
S17,570,0,0
S17,571,0,1
S17,572,0,6
S17,573,0,0
S17,574,0,0
S17,575,0,0
S17,576,0,0
S17,577,0,0
S17,578,0,0
S17,579,0,0
S17,580,0,0
S17,581,0,0
S17,582,0,0
S17,583,0,0
S17,584,0,0
S17,585,0,0
S17,586,0,0
S17,587,0,0
S17,588,0,0
S17,589,0,0
S17,590,0,0
S17,591,0,0
S17,592,0,0
S17,593,0,0
S17,594,0,0
S17,595,0,0
S17,596,0,0
S17,597,0,0
S17,598,0,0
S17,599,0,0
S17,600,0,0
S17,601,0,0
S17,602,0,0
S17,603,0,0
S17,604,0,0
S17,605,0,0
S17,606,3,0
S17,607,286,0
S17,608,1581,0
S17,609,2480,0
S17,610,2245,0
S17,611,1191,0
S17,612,364,0
S17,613,126,7
S17,614,40,105
S17,615,264,363
S17,616,370,557
S17,617,367,652
S17,618,220,538
S17,619,350,416
S17,620,583,213
S17,621,1051,35
S17,622,1423,8
S17,623,1474,41
S17,624,881,194
S17,625,176,423
S17,626,69,638
S17,627,348,656
S17,628,885,486
S17,629,1022,427
S17,630,944,295
S17,631,424,168
S17,632,70,88
S17,633,0,79
S17,634,80,40
S17,635,350,3
S17,636,932,9
S17,637,1226,13
S17,638,1044,14
S17,639,204,23
S17,640,21,49
S17,641,523,68
S17,642,1187,106
S17,643,1268,82
S17,644,1065,69
S17,645,637,64
S17,646,281,61
S17,647,38,53
S17,648,8,39
S17,649,27,41
S17,650,43,39
S17,651,20,26
S17,652,1,10
S17,653,1,2
S17,654,0,0
S17,655,0,0
S17,656,0,0
S17,657,0,0
S17,658,0,0
S17,659,0,0
S17,660,0,0
S17,661,0,0
S17,662,0,0
S17,663,0,0
S17,664,0,0
S17,665,8,0
S17,666,0,0
S17,667,0,0
S17,668,0,0
S17,669,0,0
S17,670,0,0
S17,671,0,0
S17,672,0,0
S17,673,4,0
S17,674,2,241
S17,675,4,1205
S17,676,1,1848
S17,677,24,1956
S17,678,57,922
S17,679,95,276
S17,680,66,964
S17,681,1,1745
S17,682,0,2038
S17,683,0,2057
S17,684,0,1946
S17,685,0,1804
S17,686,0,1515
S17,687,0,1340
S17,688,0,1218
S17,689,0,1219
S17,690,0,1271
S17,691,0,1291
S17,692,0,1317
S17,693,0,1217
S17,694,0,1017
S17,695,0,699
S17,696,0,815
S17,697,0,1362
S17,698,0,1753
S17,699,0,1822
S17,700,0,1641
S17,701,0,1048
S17,702,0,469
S17,703,0,168
S17,704,0,29
S17,705,0,18
S17,706,0,55
S17,707,0,86
S17,708,0,59
S17,709,0,6
S17,710,0,3
S17,711,0,11
S17,712,0,10
S17,713,0,2
S17,714,0,0
S17,715,0,0
S17,716,0,1
S17,717,0,1
S17,718,0,6
S17,719,0,6
S17,720,0,1
S17,721,0,0
S17,722,0,0
S17,723,0,0
S17,724,0,0
S17,725,0,0
S17,726,0,0
S17,727,0,0
S17,728,0,0
S17,729,0,0
S17,730,0,0
S17,731,0,0
S17,732,0,0
S17,733,0,0
S17,734,3,0
S17,735,0,0
S17,736,0,0
S17,737,0,0
S17,738,0,0
S17,739,0,0
S17,740,0,0
S17,741,0,0
