ID,Dominance,Beat,Iconic,Deictic,N/A,Symbolic,PlayerSide
P006,weakness,11,4,0,5,1,Left
P007,dominance,1,3,0,2,1,Right
P008,dominance,2,5,1,8,0,Right
P009,weakness,0,5,0,5,0P006,Left
P010,dominance,31,28,6,22,5,Left
P011,weakness,31,19,9,10,4,Right
P012,weakness,32,7,0,16,1,Right
P013,dominance,14,9,0,9,1,Left
P016,weakness,22,19,1,12,1,Right
P017,dominance,6,3,0,15,0,Left
P018,dominance,1,2,2,0,0,Right
P019,weakness,14,5,1,15,0,Left
P020,balamce,13,8,4,27,1,Left
P021,balamce,0,1,0,5,0,Right
P022,weakness,10,9,5,3,0,Right
P023,dominance,37,1,0,5,0,Left
P024,dominance,23,10,7,12,0,Left
P025,weakness,0,0,2,6,0,Right
P028,weakness,11,19,3,14,0,Right
P029,dominance,25,5,5,7,1,Left
P030,dominance,57,30,5,14,6,Right
P031,weakness,22,11,3,17,0,Left
P036,balamce,17,9,4,25,0,Right
P037,balamce,2,11,2,7,2,Left
P038,weakness,2,1,0,4,1,Right
P039,dominance,13,10,1,10,0,Left
P040,weakness,0,6,0,6,0,Left
P041,dominance,24,37,14,22,2,Right
P042,balamce,5,9,0,10,0,Left
P043,balamce,9,1,0,7,0,Right
P044,weakness,18,9,2,10,1,Left
P045,dominance,17,26,0,19,0,Right
P046,weakness,6,7,0,16,0,Left
P047,dominance,3,2,1,5,0,Left
P048,dominance,7,0,0,4,0,Right
P049,weakness,10,0,2,3,0,Right
