Session,ID,EXTROVERSION_raw_score,EXTROVERSION_percentile,AGREEABLENESS_raw_score,AGREEABLENESS_percentile,CONSCIENTIOUSNESS_raw_score,CONSCIENTIOUSNESS_percentile,NEUROTICISM_raw_score,NEUROTICISM_percentile,OPENNESS_raw_score,OPENNESS_percentile
,M001,31,89,42,91,41,93,23,42,35,22
,M002,19,18,42,91,39,86,25,58,34,17
,M003,21,29,33,25,40,90,34,98,34,17
S02,P006,24,50,44,97,36,71,19,15,34,17
S02,P007,20,24,32,18,31,36,26,66,47,94
S03,P008,16,8,28,3,26,10,29,85,32,9
S03,P009,29,82,37,59,30,29,19,15,35,22
S04,P010,15,5,34,32,38,82,22,34,47,94
S04,P011,30,86,30,9,26,10,28,79,33,13
S05,P012,22,36,38,68,34,57,29,85,40,58
S05,P013,29,82,27,2,36,71,30,89,43,78
S07,P016,39,100,33,25,21,2,23,42,48,96
S07,P017,29,82,37,59,39,86,27,73,35,22
S08,P018,15,5,38,68,34,57,23,42,24,0
S08,P019,16,8,40,82,34,57,16,5,33,13
S09,P020,19,18,36,50,21,2,21,27,40,58
S09,P021,21,29,33,25,31,36,25,58,45,87
S10,P022,16,8,40,82,39,86,25,58,36,28
S10,P023,26,64,33,25,36,71,20,21,46,91
S11,P024,18,14,38,68,21,2,31,93,42,72
S11,P025,21,29,34,32,21,2,27,73,34,17
S13,P028,21,29,37,59,31,36,31,93,36,28
S13,P029,33,95,40,82,37,76,20,21,45,87
S14,P030,25,57,31,13,29,24,35,99,46,91
S14,P031,24,50,36,50,25,7,24,50,36,28
S17,P036,15,5,30,9,34,57,21,27,32,9
S17,P037,20,24,30,9,32,43,32,95,40,58
S18,P038,19,18,32,18,37,76,26,66,39,50
S18,P039,23,43,43,95,35,64,27,73,41,65
S19,P040,24,50,27,2,30,29,29,85,36,28
S19,P041,24,50,38,68,28,18,20,21,42,72
S20,P042,30,86,35,41,39,86,11,0,39,50
S20,P043,37,99,39,75,35,64,29,85,37,35
S21,P044,24,50,33,25,30,29,19,15,31,6
S21,P045,28,76,30,9,29,24,26,66,38,42
S22,P046,27,71,32,18,37,76,22,34,37,35
S22,P047,25,57,36,50,40,90,21,27,45,87
S23,P048,19,18,34,32,40,90,29,85,47,94
S23,P049,26,64,38,68,31,36,18,11,44,83
