Session,ID,MedianDom,PlayerSide
S02,P006,2,Left
S03,P009,2,Left
S04,P010,2,Left
S05,P013,4,Left
S07,P017,4,Left
S08,P019,2,Left
S09,P020,3,Left
S10,P023,3,Left
S11,P024,3,Left
S13,P029,2,Left
S14,P031,3,Left
S17,P037,3,Left
S18,P039,3,Left
S19,P040,3,Left
S20,P042,4,Left
S21,P044,3,Left
S22,P046,3,Left
S23,P048,4,Left
S02,P007,3,Right
S03,P008,3,Right
S04,P011,1,Right
S05,P012,2,Right
S07,P016,3,Right
S08,P018,3,Right
S09,P021,3,Right
S10,P022,2,Right
S11,P025,1,Right
S13,P028,1,Right
S14,P030,4,Right
S17,P036,3,Right
S18,P038,1,Right
S19,P041,4,Right
S20,P043,4,Right
S21,P045,4,Right
S22,P047,4,Right
S23,P049,3,Right
